id,title_existing,original_title,release_date,year,vote_average_existing,vote_count_existing,popularity,overview_existing,genres,director,poster_path_existing,backdrop_path_existing,runtime,status,production_companies,title_tmdb,overview_tmdb,poster_path_tmdb,backdrop_path_tmdb,vote_average_tmdb,vote_count_tmdb,title,overview,poster_path,backdrop_path,vote_average,vote_count,certification
563683,Liam dan Laila,Liam dan Laila,2018-10-04,2018,8.0,1.0,0.24,"Laila, gadis berpendidikan tinggi, tumbuh dalam keluarga yang sangat menjunjung tinggi Islam dan menghormati adat Minangkabau. Di usia 31 tahun Laila masih sendiri. Keluarga mencemaskan kesendirian Laila. Pian, adik Laila, didesak oleh kekasihnya untuk segera dinikahi. Pian tidak bisa melangkahi kakaknya yang belum menikah. Keadaan berubah, ketika seorang laki-laki dari Prancis bernama Liam datang untuk mempersunting Laila. Liam yang sedang mempelajari Islam ini bertemu Laila di Facebook tiga tahun lalu. Niat Liam ditolak setelah pertemuan keluarga besar. Jamil, paman Laila mengajak Pian untuk membantu Liam secara diam-diam. Keadaan menjadi rumit ketika Jamil dan Pian mengetahui batas waktu visa yang dimiliki Liam hanya 30 hari. Ditambah datangnya Haris yang baru pulang dari perantauan untuk melamar Laila lagi.",['Drama'],Arief Malinmudo,https://image.tmdb.org/t/p/w500/mFjJkDYeEHjTSv139QH5Een6zqB.jpg,https://image.tmdb.org/t/p/original/1ZEEJZA8mReCcsebnagJDaLz6bS.jpg,94,Released,"Mahakarya Pictures, Malin Films",,,,,,,Liam dan Laila,"Laila, gadis berpendidikan tinggi, tumbuh dalam keluarga yang sangat menjunjung tinggi Islam dan menghormati adat Minangkabau. Di usia 31 tahun Laila masih sendiri. Keluarga mencemaskan kesendirian Laila. Pian, adik Laila, didesak oleh kekasihnya untuk segera dinikahi. Pian tidak bisa melangkahi kakaknya yang belum menikah. Keadaan berubah, ketika seorang laki-laki dari Prancis bernama Liam datang untuk mempersunting Laila. Liam yang sedang mempelajari Islam ini bertemu Laila di Facebook tiga tahun lalu. Niat Liam ditolak setelah pertemuan keluarga besar. Jamil, paman Laila mengajak Pian untuk membantu Liam secara diam-diam. Keadaan menjadi rumit ketika Jamil dan Pian mengetahui batas waktu visa yang dimiliki Liam hanya 30 hari. Ditambah datangnya Haris yang baru pulang dari perantauan untuk melamar Laila lagi.",https://image.tmdb.org/t/p/w500/mFjJkDYeEHjTSv139QH5Een6zqB.jpg,https://image.tmdb.org/t/p/original/1ZEEJZA8mReCcsebnagJDaLz6bS.jpg,,,
404937,London Love Story,London Love Story,2016-02-04,2016,5.5,3.0,0.24,"Cinta bukanlah cinta, jika menyerah..  Adalah Dave (Dimas anggara), kepopulerannya di kalangan para mahasiswa ternyata tidak dapat menutupi kekosongan hatinya, sejak ditinggalkan oleh satu satunya cewek yang dicintainya. Cewek yang lenyap dari hidupnya justru di saat Dave ingin menjadikannya cinta terakhir. Suatu malam ketika baru pulang dari pesta ulang tahun temannya, dia bertemu dengan seorang cewek yang berusaha bunuh diri yaitu Adelle (Adila Fitri), Dave berusaha meyakinkan apa yang dilakukan sia sia. Awal pertemuan membuat cewek yang ditolongnya justru jatuh cinta hanya dalam waktu dua hari, dari sikap dave yang sangat baik.","['Drama, Percintaan']",Asep Kusdinar,https://image.tmdb.org/t/p/w500/fx9DKJp3hxDspF2TTxgGY3lmwge.jpg,https://image.tmdb.org/t/p/original/fixDGgQTElZYC1EJWxI94Tfxp1.jpg,90,Released,Screenplay Films,,,,,,,London Love Story,"Cinta bukanlah cinta, jika menyerah..  Adalah Dave (Dimas anggara), kepopulerannya di kalangan para mahasiswa ternyata tidak dapat menutupi kekosongan hatinya, sejak ditinggalkan oleh satu satunya cewek yang dicintainya. Cewek yang lenyap dari hidupnya justru di saat Dave ingin menjadikannya cinta terakhir. Suatu malam ketika baru pulang dari pesta ulang tahun temannya, dia bertemu dengan seorang cewek yang berusaha bunuh diri yaitu Adelle (Adila Fitri), Dave berusaha meyakinkan apa yang dilakukan sia sia. Awal pertemuan membuat cewek yang ditolongnya justru jatuh cinta hanya dalam waktu dua hari, dari sikap dave yang sangat baik.",https://image.tmdb.org/t/p/w500/fx9DKJp3hxDspF2TTxgGY3lmwge.jpg,https://image.tmdb.org/t/p/original/fixDGgQTElZYC1EJWxI94Tfxp1.jpg,,,
447897,London Love Story 2,London Love Story 2,2017-02-26,2017,4.1,5.0,0.18,"Caramel sangat bahagia. Betapa tidak, impiannya sejak kecil untuk melihat dan bermain salju akhirnya terwujud karena Dave memberinya hadiah kejutan liburan ke Swiss untuk merayakan ulang tahun Caramel.","['Drama, Percintaan']",Asep Kusdinar,https://image.tmdb.org/t/p/w500/vRRWvD6WQKWuCJRjog6zBlokuud.jpg,https://image.tmdb.org/t/p/original/5qniLTO2fw63v0zHaGeNCFMAcov.jpg,102,Released,Screenplay Films,,,,,,,London Love Story 2,"Caramel sangat bahagia. Betapa tidak, impiannya sejak kecil untuk melihat dan bermain salju akhirnya terwujud karena Dave memberinya hadiah kejutan liburan ke Swiss untuk merayakan ulang tahun Caramel.",https://image.tmdb.org/t/p/w500/vRRWvD6WQKWuCJRjog6zBlokuud.jpg,https://image.tmdb.org/t/p/original/5qniLTO2fw63v0zHaGeNCFMAcov.jpg,,,
506731,Love for Sale,Love for Sale,2018-03-15,2018,7.9,14.0,0.36,Richard menerima tantangan bahwa ia tak bisa menemukan pasangan saat menghadiri pernikahan seorang teman. Ia tak tahu aplikasi kencannya mencakup kontrak 45 hari.,"['Drama, Percintaan']",Andibachtiar Yusuf,https://image.tmdb.org/t/p/w500/dpU0VeUKfr4ga8461wfB53IxS74.jpg,https://image.tmdb.org/t/p/original/zcaAhrJ2nKHpAoPT8bZtqp9aXiW.jpg,100,Released,Visinema Pictures,,,,,,,Love for Sale,Richard menerima tantangan bahwa ia tak bisa menemukan pasangan saat menghadiri pernikahan seorang teman. Ia tak tahu aplikasi kencannya mencakup kontrak 45 hari.,https://image.tmdb.org/t/p/w500/dpU0VeUKfr4ga8461wfB53IxS74.jpg,https://image.tmdb.org/t/p/original/zcaAhrJ2nKHpAoPT8bZtqp9aXiW.jpg,,,
611060,Love for Sale 2,Love for Sale 2,2019-10-31,2019,6.3,10.0,0.27,Sekuel dari film 'Love for Sale' karya Andibachtiar Yusuf yang rilis pada 2018.,"['Drama, Keluarga, Percintaan']",Andibachtiar Yusuf,https://image.tmdb.org/t/p/w500/2PZ8B4g9YbcHXcLoZbsLBefLvTB.jpg,https://image.tmdb.org/t/p/original/18OyanlEOwyoxiV21o3IuY5Ed6f.jpg,92,Released,"Visinema Pictures, TMF Films",,,,,,,Love for Sale 2,Sekuel dari film 'Love for Sale' karya Andibachtiar Yusuf yang rilis pada 2018.,https://image.tmdb.org/t/p/w500/2PZ8B4g9YbcHXcLoZbsLBefLvTB.jpg,https://image.tmdb.org/t/p/original/18OyanlEOwyoxiV21o3IuY5Ed6f.jpg,,,
547317,"Love Reborn: Komik, Musik & Kisah Masa Lalu","Love Reborn: Komik, Musik & Kisah Masa Lalu",2018-05-31,2018,0.0,0.0,0.17,"Berawal dari sebuah komik karya Kirei (Nadya Arina) di web Toon, yang inspirasinya didapat dari Wijaya, pria separuh baya langganan laundry milik Ibunya (Ira Wibowo). Dalam jas yang sering di-laundry oleh Wijaya terdapat surat-surat membingungkan yang hanya ibu Kirei dan Wijaya (Donny Damara) itu yang mengerti. Komik berjudul Kisah Masa Lalu itu jadi viral di media online. Kesuksesan komik Kirei menimbulkan masalah. Bagus, vokalis band indie “Keras Kepala Band” yang beranggotakan Rindu (Rani Ramadhany), Jefry (Indra Jegel), dan Sobirin (Jui Purwanto), tidak terima karena karakter di komik itu adalah ayahnya. Bagus menuduh ibu Kirei wanita murahan karena jadi penyebab retaknya rumah tangga keluarganya. Untuk membuktikan itu Kirei dan Bagus bersepakat untuk mengungkap kebenaran antara ibu Kireii dan ayah Bagus. Perjalanan mengungkap rahasia itu ternyata tidak mudah karena selain minimnya informasi, mereka selalu bertemu dengan orang-orang aneh di masa lalu orangtua mereka.","['Drama, Percintaan']",Jay Sukmo,https://image.tmdb.org/t/p/w500/4p2vReInmdLyXgKrJETOhwC5bHI.jpg,,98,Released,DHF Entertainment,,,,,,,"Love Reborn: Komik, Musik & Kisah Masa Lalu","Berawal dari sebuah komik karya Kirei (Nadya Arina) di web Toon, yang inspirasinya didapat dari Wijaya, pria separuh baya langganan laundry milik Ibunya (Ira Wibowo). Dalam jas yang sering di-laundry oleh Wijaya terdapat surat-surat membingungkan yang hanya ibu Kirei dan Wijaya (Donny Damara) itu yang mengerti. Komik berjudul Kisah Masa Lalu itu jadi viral di media online. Kesuksesan komik Kirei menimbulkan masalah. Bagus, vokalis band indie “Keras Kepala Band” yang beranggotakan Rindu (Rani Ramadhany), Jefry (Indra Jegel), dan Sobirin (Jui Purwanto), tidak terima karena karakter di komik itu adalah ayahnya. Bagus menuduh ibu Kirei wanita murahan karena jadi penyebab retaknya rumah tangga keluarganya. Untuk membuktikan itu Kirei dan Bagus bersepakat untuk mengungkap kebenaran antara ibu Kireii dan ayah Bagus. Perjalanan mengungkap rahasia itu ternyata tidak mudah karena selain minimnya informasi, mereka selalu bertemu dengan orang-orang aneh di masa lalu orangtua mereka.",https://image.tmdb.org/t/p/w500/4p2vReInmdLyXgKrJETOhwC5bHI.jpg,,,,
583606,Loz Jogjakartoz,Loz Jogjakartoz,2018-11-28,2018,7.0,2.0,0.12,"Artos successfully get the expensive bird everybody wants. Unfortunately, the said bird is the one who drags him into many problems he is forced to face. Police officers, goons and even politicians share the desire to own the bird. Artos is now in danger. Like it or not, he has to fight them all in order to claim back what is his, even if that means his life is on the stake.","['Drama, Kejahatan']",Sidharta Tata,https://image.tmdb.org/t/p/w500/gJGfuU7TJh3TweCeBTQg6a5XvsI.jpg,https://image.tmdb.org/t/p/original/fVVkkGPNoNMBusqjVOts1THTYoI.jpg,29,Released,"Dinas Kebudayaan DIY, Kebon Studio",,,,,,,Loz Jogjakartoz,"Artos successfully get the expensive bird everybody wants. Unfortunately, the said bird is the one who drags him into many problems he is forced to face. Police officers, goons and even politicians share the desire to own the bird. Artos is now in danger. Like it or not, he has to fight them all in order to claim back what is his, even if that means his life is on the stake.",https://image.tmdb.org/t/p/w500/gJGfuU7TJh3TweCeBTQg6a5XvsI.jpg,https://image.tmdb.org/t/p/original/fVVkkGPNoNMBusqjVOts1THTYoI.jpg,,,
1186003,"Ludruk Dahulu, Kini, dan Nanti","Ludruk Dahulu, Kini, dan Nanti",2023-09-29,2023,8.0,1.0,0.07,Para seniwati Ludruk Tobong berjuang keras untuk mempertahankan kesenian yang menghidupinya sejak dahulu. Mereka juga berupaya manghalau stigma negatif dari transpuan melalui media kebudayaan.,['Dokumenter'],Reni Apriliana,https://image.tmdb.org/t/p/w500/fzxfEmrOrZbDo2ofd5L2zlwh9mE.jpg,,24,Released,"Krida Film, Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi RI",,,,,,,"Ludruk Dahulu, Kini, dan Nanti",Para seniwati Ludruk Tobong berjuang keras untuk mempertahankan kesenian yang menghidupinya sejak dahulu. Mereka juga berupaya manghalau stigma negatif dari transpuan melalui media kebudayaan.,https://image.tmdb.org/t/p/w500/fzxfEmrOrZbDo2ofd5L2zlwh9mE.jpg,,,,
237393,"Maaf, Saya Menghamili Istri Anda","Maaf, Saya Menghamili Istri Anda",2007-06-20,2007,0.0,0.0,0.12,"Monty Tiwa tidak harus meminta maaf pada siapa-siapa (seharusnya juga tidak kepada perserikatan keluarga Simamora yang menuntutnya untuk meminta maaf atas penggunaan marga mereka di film ini). Maaf, Saya Menghamili Istri Anda adalah sebuah komedi yang cerdas dan menyenangkan.","['Komedi, Drama']",Monty Tiwa,https://image.tmdb.org/t/p/w500/paf1XkmoV3L4uDuVALyjR2m5Jpv.jpg,,106,Released,SinemArt,,,,,,,"Maaf, Saya Menghamili Istri Anda","Monty Tiwa tidak harus meminta maaf pada siapa-siapa (seharusnya juga tidak kepada perserikatan keluarga Simamora yang menuntutnya untuk meminta maaf atas penggunaan marga mereka di film ini). Maaf, Saya Menghamili Istri Anda adalah sebuah komedi yang cerdas dan menyenangkan.",https://image.tmdb.org/t/p/w500/paf1XkmoV3L4uDuVALyjR2m5Jpv.jpg,,,,
1163980,Made in Bali,Made in Bali,2025-02-20,2025,7.0,2.0,0.18,A young man from a family of Balinese puppeteers must choose between a sensible arranged marriage or take a chance with his childhood best friend.,"['Drama, Percintaan']",Johar Prayudhi,https://image.tmdb.org/t/p/w500/dShnI8pl1wtVEt5y8K1AizwEX2Y.jpg,https://image.tmdb.org/t/p/original/lffE9qv3h9bPnucFVFRXCwOwTJR.jpg,94,Released,Josh Pictures,,,,,,,Made in Bali,A young man from a family of Balinese puppeteers must choose between a sensible arranged marriage or take a chance with his childhood best friend.,https://image.tmdb.org/t/p/w500/dShnI8pl1wtVEt5y8K1AizwEX2Y.jpg,https://image.tmdb.org/t/p/original/lffE9qv3h9bPnucFVFRXCwOwTJR.jpg,,,
442507,Madre,Madre,2013-03-28,2013,8.0,1.0,0.37,"Hidup Tansen, 27 tahun, berubah dalam sehari hanya dengan sebuah kunci lemari es yang di dalamnya terdapat adonan biang roti berumur 70 tahun bernama Madre. Kakeknya, Tan Sin Gie, memberikan warisan Madre kepada Tansen. Selama ini Tansen tak pernah tahu kalau seperempat darah miliknya berasal dari kakeknya yang beretnis Tionghoa dan seperempat darah India dari neneknya.",['Drama'],Benni Setiawan,https://image.tmdb.org/t/p/w500/cCgtqkvQ65X5gvOh4xkuAk3ErmW.jpg,https://image.tmdb.org/t/p/original/lKS8RUXVwZkK3ctdOIDMdaXDjQ1.jpg,107,Released,"Mizan Productions, Bentang Pictures",,,,,,,Madre,"Hidup Tansen, 27 tahun, berubah dalam sehari hanya dengan sebuah kunci lemari es yang di dalamnya terdapat adonan biang roti berumur 70 tahun bernama Madre. Kakeknya, Tan Sin Gie, memberikan warisan Madre kepada Tansen. Selama ini Tansen tak pernah tahu kalau seperempat darah miliknya berasal dari kakeknya yang beretnis Tionghoa dan seperempat darah India dari neneknya.",https://image.tmdb.org/t/p/w500/cCgtqkvQ65X5gvOh4xkuAk3ErmW.jpg,https://image.tmdb.org/t/p/original/lKS8RUXVwZkK3ctdOIDMdaXDjQ1.jpg,,,
