Total Sutradara: 1385
Total Film: 3333
Rata-rata film per sutradara: 2.41

Daftar Lengkap Sutradara:
--------------------------------------------------
                            Sutradara  Jumlah Film
                 Wahyu Agung Prasetyo            2
                      Patrick Effendy            2
               Wicaksono Wisnu Legowo            2
                        Allan Lunardi            2
                             Saptadji            2
                            M. Haikal            2
                   Chandra Endroputro            2
                         Jay Subyakto            2
                      Rico M. Bradley            2
                       Bayu Pamungkas            2
                          Rully Manna            2
                    Rachmania Arunita            2
                        Bobby Prabowo            2
                       Dedy Syahputra            2
                              Mustafa            2
                      Taufan Agustyan            2
                        Achiel Nasrun            2
                         Eugene Panji            2
                        Arie Surastio            2
                       Charles Edward            2
                       Amelia Hapsari            2
                   Joshua Oppenheimer            2
                               Sys NS            2
                     Akhlis Suryapati            2
               Steve Pillar Setiabudi            2
                         Joko Nugroho            2
                           Aji Aditya            2
                Muhammad Bagas Satrio            2
                       Andi Burhamzah            2
             Prashasti Wilujeng Putri            2
                     Alexander Sinaga            2
                       Quraisy Mathar            2
                   Edwin Dolly Roseno            2
                           Afif Fahmi            2
                  Nur Afni Eka Muslim            2
                        Sahrul Gibran            2
                    Petrus Kristianto            2
                          Firman Syah            2
                         Daffa Akhmad            2
                         Wisnu Candra            2
                     Wisnu Dewa Broto            2
                        Panji Respati            2
                    Purnomo A. Chakil            2
                   Faisal Abdul Wahid            2
                       Farid Dermawan            2
                        Iqbal Alfajri            2
                                Tompi            2
                           Jito Banyu            2
                     Rievy Indriasari            2
                      Jimmy Hendrickx            2
                       Bihar Jafarian            2
                       Orizon Astonia            2
                       Muhammad Hafiz            2
                   Putri Sarah Amelia            2
                           Fitrah N.A            2
                     Enggar Asfinsani            2
                      Mardali Syarief            2
             Anastasia Salsa Dianthea            2
                           Faza Meonk            2
                      Winnie Benjamin            2
                     Tino Saroengallo            2
                   Fathur Novriantomo            2
                     Rofie Nur Fauzie            2
                                 X.Jo            2
                     Hartawan Triguna            2
                         Alip Santosa            2
                         Zidny Nafian            2
                     Rein Maychaelson            2
                       R. Jiwo Kusumo            2
                         Neysa Ananda            2
                   Fransiskus Rismaji            2
                    Erlangga Radhikza            2
                 Fransiscus Magastowo            2
                    Azyd Aqsha Madani            2
                               Daphne            2
                          Nuri Dahlia            2
                  Edward Pesta Sirait            2
             Bryan Kristhoporus Gondo            2
                         Raymond Skie            2
                   Ridho Ivander Rama            2
                         Aris Nugraha            2
                        Ferry Irwandi            2
                     Amriy R. Suwardi            2
                          Rizal Hanun            2
                        Rizki Adiguna            2
                  Dimas Eddy Djauhari            2
                     Dhisga Amandatya            2
                Kurnia Yudha Fitranto            2
                     Ivan Padak Demon            2
                         Vera Isnaini            2
                       Netanya Yemima            2
                       Haris Supiandi            2
                         Arfan Sabran            2
                         Karsono Hadi            2
              Bayu Prihantoro Filemon            2
                          Samuel Ruby            2
                        Ramahadi Gama            2
                     Tengku Iskhandar            2
                       Kevin Rahardjo            2
                         Steady Rimba            2
                       Yongki Ongestu            2
                         Lukman Sardi            2
              Adrian Pratama Putra W.            2
                           Agni Tirta            2
             Richard Natan Oktavianus            2
                   Rafi Adam Pangestu            2
                       Fauzan Musyafa            2
                    Ludy Oji Prastama            2
                       Natasha Tontey            2
              Muhammad RIzky Abhirama            2
                       Laurent Sindhu            2
    Jeshua Hamasya Christian Maloring            2
                          Khozy Rizal            2
                       Ardian Parasto            2
                       Mirwan Suwarso            2
                         Usmar Ismail            2
                         Lucas Randya            2
                 Muhammad Bakti Akbar            2
               Rifky Fajar Syah Putra            2
                       Taufik Nabilla            2
                   Ayesha Alma Almera            2
                         Gianni Fajri            2
                      Imam Ghitrif Y.            2
                          Otoy Witoyo            2
                            Vandy Woo            2
                    M. Alam Alghifari            2
                         Imam Syafi'i            2
                      Janice Angelica            2
                           Subakti Is            2
                    Agustinus Sitorus            2
                    Zakariya Soekarno            2
                     Nafa Faruq Adani            2
                     Muhammad Abyndra            2
                      Krishto D. Alam            2
                     Franklin Darmadi            2
                          Gisela Levy            2
                      Tanzilal Azizie            2
                         Faizal Anwar            2
                       Thomas Nawilis            2
                       Indigo Gabriel            2
                       Achmad Faishol            2
              Steven Nathan Herdijaya            2
                                Lance            2
                         Yonri Revolt            2
                Faris Amar Gymnastiar            2
                        Aaron Pratama            2
                           Suroso Mys            2
                      Ani Ema Susanti            2
                     Yusgunawan Marto            2
                        Alwi Iftikhar            2
                  Yoyok Sri Hardianto            2
                        Sandya Amanta            2
                         Dhendi Syafa            2
                   Nahata Def' Fathan            2
                      Yusuf Radjamuda            2
                         Arkan sinaba            2
                 Maulana Latif Hanafi            2
                          Afiy Ja'far            2
                           Afif Faaiz            2
   Abraham Abdiel Arya Putra Yudianto            2
                      Matnoor Tindaon            2
                      Slamet Rahardjo            2
                        Bani Nasution            2
                           Sirojuddin            2
                     Zhafran Solichin            2
                     Jessica Angelica            2
                         Kemal Palevi            2
                       Aditia Santosa            2
                        Nosa Normanda            2
                     Ferry Pei Irawan            2
                       Key Mangunsong            2
                            Baim Wong            2
                      Pandu Birantoro            2
                        Dito Prasetyo            2
         Febian Nurrahman Saktinegara            2
                  Tarangga Widyadhana            2
                        A. Liong Wong            1
                       Satria Adiyasa            1
                         Elvira Kusno            1
                      Bambi Martantio            1
                           Alim Sudio            1
                             Andi Lim            1
                     R. A. Karamullah            1
                            Supriyadi            1
                        Indra Tirtana            1
              Gadis Delilah Maxworthy            1
                     Edmond Waworuntu            1
                         Steven Sheil            1
                         Andhy Pulung            1
                     Titien Wattimena            1
                         Volkan Maida            1
                            Eko Nobel            1
                     Andrew Dananjaya            1
                       Chandra Tanzil            1
                        Laura Coppens            1
                          Jean E. Lee            1
                        Arman Dewarti            1
                         Fachrul Rozy            1
                      Robert Lemelson            1
                         Citra Melati            1
                       F. Tejobaskoro            1
                          Alit Ambara            1
                   Sandi Amaq Rinjani            1
                           Asmirandah            1
                       Asad Amar Zoni            1
                          Ari Rusyadi            1
                           Ilya Sigma            1
                            Irwansyah            1
                    Dimas Adi Pratama            1
                         Herman Panca            1
                        Sean Monteiro            1
                   Ismail Sofyan Sani            1
