id;title_existing;original_title;release_date;year;vote_average_existing;vote_count_existing;popularity;overview_existing;genres;director;poster_path_existing;backdrop_path_existing;runtime;status;production_companies;title_tmdb;overview_tmdb;poster_path_tmdb;backdrop_path_tmdb;vote_average_tmdb;vote_count_tmdb;title;overview;poster_path;backdrop_path;vote_average;vote_count;certification
1189365;;Challenge Accepted;26/04/2022;2022;;;0.0347;;['Kengerian, Cerita Seru'];Nanda Adhika;;;12.0;Released;;;;;;0.0;0.0;Challenge Accepted;;https://image.tmdb.org/t/p/w500/urllcdDpMGMqmU3EQTEunhJDzbj.jpg;;0.0;0.0;
987269;;Encounter;15/06/2022;2022;;;0.0338;;['Percintaan, Komedi'];Ratu Dewi Hendriantika;;;15.0;Released;E3 Encounter Production, Satu Layar;;;;;4.0;1.0;Encounter;Sepulang kuliah, Via yang sedang sakit bertemu dengan seorang pria yang mengantarnya pulang. Namun Via tidak mengetahui siapa pria tersebut, sehingga keesokan harinya ia bersama teman-temannya memutuskan untuk mencari tahu siapa pria tersebut.;https://image.tmdb.org/t/p/w500/j2CBUOa7fVcdUq57xUdmdjfckrh.jpg;https://image.tmdb.org/t/p/original/bGaeRiZygfrHNAclLkmfNbGbK1d.jpg;4.0;1.0;
1048233;;Teguh;06/09/2022;2022;;;0.0404;;['Dokumenter'];Riani Singgih;;;15.0;Released;;;;;;0.0;0.0;Teguh;;https://image.tmdb.org/t/p/w500/3haT9266167RXXIMinB8t89f3me.jpg;;0.0;0.0;
1431511;;Truth or Dare;24/03/2022;2022;;;0.0495;;['Kengerian'];Bagas  Wiranata;;;5.0;Released;Walther Production;;;;;0.0;0.0;Truth or Dare;;https://image.tmdb.org/t/p/w500/cbxHuJVdJ4SHc7GaQsC16ORiC4d.jpg;;0.0;0.0;13+
1036871;;Last Order;14/10/2022;2022;;;0.0363;;['Drama'];Hariz Soe'oed;;;14.0;Released;Future Play;;;;;0.0;0.0;Pesan(an) Terakhir;Marzuki, menggunakan hoaks tentang restorannya yang angker untuk menarik pengunjung, tetapi jalan yang dia pilih ini ditentang oleh ayahnya, Ismail. Apa yang harus dilakukan Marzuki?;https://image.tmdb.org/t/p/w500/vPBWnj6IbwjpZKP3NMAx7ABK9Vf.jpg;;0.0;0.0;
1095896;;Days To Forget;04/10/2022;2022;;;0.0377;;['Drama'];Kevin Navarro Cakrawangsa;;;6.0;Released;ANGKAS Production, Vineon Creative;;;;;0.0;0.0;Days To Forget;Setelah mengalami perpisahan yang sulit, Noah menemukan dirinya tersesat dalam kesepiannya. Dia menyaksikan teman-temannya menjauh membuat pemulihan perpisahannya menjadi salah satu momen terberat dalam hidupnya. Sejak itu, dia melewati 4 tahap kesedihan, mengetahui bahwa segala sesuatu memiliki proses dan segala sesuatunya benar-benar menjadi lebih baik. Pada akhirnya, Noah menerima semuanya apa adanya dan menemukan awal yang baru.;https://image.tmdb.org/t/p/w500/8dLLZA1nyUTwXdvmwlmUQU7b3xc.jpg;;0.0;0.0;SU
1009181;;A Daughter's Lullaby;15/01/2022;2022;;;0.0468;;['Drama'];Gisela Levy;;;18.0;Released;Midnight Melancholy;;;;;0.0;0.0;A Daughter's Lullaby;;https://image.tmdb.org/t/p/w500/nDjpGgyiCaDuCvApWVU734tFaAf.jpg;;0.0;0.0;
1263663;;H Untuk Hantu;25/06/2022;2022;;;0.0461;;['Komedi, Kengerian'];Adith Dudit;;;29.0;Released;Pixelmount Production;;;;;0.0;0.0;H Untuk Hantu;Maman, Bayu dan Lisa merupakan sosok hantu yang ingin membuat manusia takut kembali pada hantu. Namun usaha 2 hantu lainnya malah membuat mereka berhubungan semakin dekat dengan manusia dan gagal membuat manusia takut lagi dengan hantu.;https://image.tmdb.org/t/p/w500/TIhPAjt3zlFBVl4FvVGpf7ofxP.jpg;https://image.tmdb.org/t/p/original/mgpXSltRCCzZwshkodbX1rGM7qO.jpg;0.0;0.0;SU
1004584;;Ride To Nowhere;03/09/2022;2022;;;0.0281;;['Drama'];Khozy Rizal;;;15.0;Released;Hore Pictures;;;;;0.0;0.0;Ride To Nowhere;;https://image.tmdb.org/t/p/w500/h5y3fJyM5gUTqYJfYw5d3WNQ23J.jpg;;0.0;0.0;
1179488;;Rencang;01/12/2022;2022;;;0.0416;;['Drama, Komedi'];Novita Sari;;;15.0;Released;xixinema production;;;;;9.0;1.0;Rencang;Kelereng Doni dirampas oleh komplotan Mamat karena ia bermain di Lapangan kekuasaanya. Doni yang tidak terima menantang Mamat untuk mempertaruhkan seluruh kelerengnya dalam sebuah pertandingan kelereng dan Doni memepertaruhkan kelereng emas andalannya.;https://image.tmdb.org/t/p/w500/jnLcwwKhKasVDXXuXqgD51pdL6K.jpg;https://image.tmdb.org/t/p/original/ampxrl2xHjRMBOA5s1tu530JX0c.jpg;9.0;1.0;17+
1067923;;Berdoa, Mulai;26/03/2022;2022;;;0.0505;;['Drama'];Tanzilal Azizie;;;10.0;Released;Degradians Studio;;;;;8.0;1.0;Pray, Begin;Ruth remaja Katholik yang hidup di tengah kaum muslim. Sebagai minoritas di tempat menuntut ilmu, ia harus beradaptasi dengan kebiasaan teman-teman muslimnya. Ia harus berpindah tempat untuk mengikuti pelajaran agama Katholik, karena sekolah tidak memfasilitasinya. Hal ini membuat Ruth terbawa pada kebiasaan kaum mayoritas bahkan saat ia sedang bersama keluarganya.;https://image.tmdb.org/t/p/w500/wrekuHQcSwue7rUkGPtKsLsxUyf.jpg;https://image.tmdb.org/t/p/original/996GcFHECjq1ieoSqbEwCIUxLh6.jpg;8.0;1.0;SU
1042202;;Sukma Terbelenggu;31/01/2022;2022;;;0.0453;;['Kengerian'];Ajie Sudrajat;;;0.0;Released;PT Drara Citra Sinema, Inspire Production;;;;;0.0;0.0;Sukma Terbelenggu;;https://image.tmdb.org/t/p/w500/2qBiNQaTD9ZrUstQ5n7kbrIpEid.jpg;https://image.tmdb.org/t/p/original/zEzeL8qUuWaH2msGpsVXm8tecXF.jpg;0.0;0.0;
1056903;;Menjamah Cahaya;11/12/2022;2022;;;0.0214;;['Drama'];Nafa Faruq Adani;;;17.0;Released;426 Hz;;;;;0.0;0.0;Menjamah Cahaya;Cakra sedang ada diambang antara membunuh dirinya atau bertahan hidup, setelah kegagalannya meraih mimpinya menjadi seorang penyanyi. Ian, sahabatnya, datang untuk menenangkan Cakra. Sempat ditolak, Ian akhirnya berhasil membujuk Cakra. Mereka pun pergi ke tempat dimana mereka biasanya banyak menghabiskan waktu. Tak disangka, perjalanan menuju tempat itu telah membuka apa yang selama ini Ian tak ketahui tentang Cakra. Hingga akhirnya mereka sampai di tempat itu, semua kebenaran yang tabu bagi Ian pun terungkap. Cakra dan Ian sama-sama terlahir kembali. Semua kebenaran yang terungkap itu justru telah memperkuat persahabatan mereka.;https://image.tmdb.org/t/p/w500/wt3Q0CcjyqSZTN2aPj8tbtrK2yb.jpg;;0.0;0.0;
1025286;;Chicken Awaken;31/12/2022;2022;;;0.0214;;['Aksi, Komedi, Fantasi'];Beny Kristia;;;5.0;Released;Nol Derajat Film;;;;;0.0;0.0;Chicken Awaken;;https://image.tmdb.org/t/p/w500/dLSONTayj2YVLEp3VDtA6qERZRN.jpg;;0.0;0.0;13+
1008270;;Tumbal Hitam: Darah Anak Melik;11/08/2022;2022;;;0.0382;;['Kengerian'];Mimi Jegon;;;89.0;Released;Jegon Films;;;;;0.0;0.0;Tumbal Hitam: Darah Anak Melik;;https://image.tmdb.org/t/p/w500/5LMGjY9pceGLXalpiGCXwR1PYmI.jpg;https://image.tmdb.org/t/p/original/lLZqtP6vRIRwZSVLyB805JVHA4B.jpg;0.0;0.0;
1053988;;Airani;29/11/2022;2022;;;0.0338;;['Drama'];Ricky Zakaria Fajri;;;20.0;Released;Jogja Film Academy, Sinemavio, Trimoving Pictures, Rungu Project;;;;;0.0;0.0;Airani;;https://image.tmdb.org/t/p/w500/clY7rPVDMzYkaCUyLwysvUz8qd4.jpg;;0.0;0.0;17+
1134761;;LOMA;14/12/2022;2022;;;0.0429;;['Petualangan, Drama, Keluarga'];Della Kartika;;;14.0;Released;Relung Production;;;;;0.0;0.0;LOMA;Loma, siswi SMP yang ingin mencalonkan diri sebagai ketua dewan penggalang, namun banyak orang yang menghina dan tidak mempercayainya sebab dirinya adalah anak seorang koruptor;https://image.tmdb.org/t/p/w500/cjpCvZDrW8SM1u7zkR683isMEiY.jpg;;0.0;0.0;SU
1062350;;Cerita Liburan;16/12/2022;2022;;;0.0388;;['Drama, Keluarga'];Rozan Muttaqin;;;10.0;Released;Asaloka Films;;;;;10.0;1.0;Cerita Liburan;;https://image.tmdb.org/t/p/w500/saT355zhAIyZJIQXFdGvk84R0N3.jpg;;10.0;1.0;
1052583;;Menyerah;18/02/2022;2022;;;0.0256;;['Drama'];Hermansyah;;;50.0;Released;Langit Pictures Indonesia;;;;;0.0;0.0;Menyerah;;https://image.tmdb.org/t/p/w500/nd5by8yrd9W5iTzyLTLtev2fzhr.jpg;;0.0;0.0;13+
1052542;;The (memories) We Never Forget;02/12/2022;2022;;;0.0297;;['Keluarga, Dokumenter'];Muhammad Hafiz;;;0.0;Released;VG+ Entertainment Group;;;;;0.0;0.0;The (memories) We Never Forget;;https://image.tmdb.org/t/p/w500/uHptfFTMG8NC5YJEyDNh5qKc3CJ.jpg;https://image.tmdb.org/t/p/original/ssl9epOQHW5uQojnlvhQXR9NWKn.jpg;0.0;0.0;
1040662;;Vania on Lima Street;03/12/2022;2022;;;0.0281;;['Drama'];Bayu Prihantoro Filemon;;;24.0;Released;Limaenam Films;;;;;0.0;0.0;Vania on Lima Street;;https://image.tmdb.org/t/p/w500/qUKykw7PbWVm1sZUz9uuz0Eimpf.jpg;https://image.tmdb.org/t/p/original/AeTWTT3GL9d3NhMBebio3echvuy.jpg;0.0;0.0;
1213112;;Pakai Ja;12/08/2022;2022;;;0.0362;;['Drama, Komedi'];Muhammad Hilal Azmi;;;13.0;Released;Kukuruyuk Project, NKRB HOUSE;;;;;0.0;0.0;Pakai Ja;Ica seorang bandahara kelas yang sedang kebingungan bagaimana caranya agar ia bisa membayar barang pesanannya, disamping rasa kegelisahannya itu ada seorang iblis yang menggodanya untuk melakukan hal yang tidak seharusnya dilakukan oleh ica agar memenuhi hasrat kegengsiannya.;https://image.tmdb.org/t/p/w500/fBjUHvRYzuR8h9a3DA811yjFD9u.jpg;https://image.tmdb.org/t/p/original/c56aOu13ogF9px42kHP3nugIF5.jpg;0.0;0.0;13+
1052588;;Kuntilanak Merah Pentagram;04/10/2022;2022;;;0.0505;;['Kengerian'];Wijaya Sanuaji;;;78.0;Released;Screening Entertainment, Dipinang Production;;;;;0.0;0.0;Kuntilanak Merah Pentagram;;https://image.tmdb.org/t/p/w500/ybWEEpzWNAxreMpkAcrTuhxuDAC.jpg;;0.0;0.0;17+
