id,title,original_title,release_date,year,vote_average,vote_count,popularity,overview,genres,director,poster_path,backdrop_path,runtime,status,production_companies
613689,Makmum,Makmum,2019-08-15,2019,5.5,10,1.72,"Rosa tidak pernah menghiraukan ketakutan Nurul, Nisa, dan Putri, tiga siswinya di asrama. Sampai ketika intensitas kesurupan Putri meningkat dan Rini mencoba menguak misteri tersebut.",Kengerian,Hadrah Daeng Ratu,https://image.tmdb.org/t/p/w500/bCoq0Lvk1Mq7bxyLnEodLkjp2XH.jpg,https://image.tmdb.org/t/p/original/5AaMLtqfXuutmImAxiIYtiCC3i3.jpg,95,Released,"Dee Company, Blue Water Films"
613709,Eggnoid,Eggnoid,2019-12-05,2019,6.6,4,0.7,Berdasarkan LINE Webtoon karya Archie The Red Cat,"Drama, Cerita Fiksi, Percintaan",Naya Anindita,https://image.tmdb.org/t/p/w500/nl9V8vKXto4Ds2M3ZYRp40H3JV2.jpg,https://image.tmdb.org/t/p/original/1QUd7UV6abEH0Yr0sMCt5vypX1r.jpg,102,Released,"Visinema Pictures, Dynamic Pictures"
572667,Terlalu Tampan,Terlalu Tampan,2019-01-31,2019,6.5,13,0.68,"Witing Tresno Jalaran Soko Kulino alias Mas Kulin (Ari Irham) yang terlalu tampan selalu menghindari masuk ke sekolah regular dan memilih menghabiskan hampir 100% hidupnya di dalam rumah. Hal itu yang membuat ayahnya, Pak Archewe (Marcelino Lefrandt), ibunya, Bu Suk (Iis Dahlia), dan kakaknya, Mas Okis (Tarra Budiman), khawatir. Mereka menyusun skenario yang berhasil membuat Mas Kulin setuju untuk menghabiskan tahun terakhir masa SMA-nya di sekolah khusus pria, SMA Horridson. Ketampanan Mas Kulin terekspos ke dunia luar hingga hari-harinya berjalan tidak biasa: guru-guru wanita pingsan dan menjadi incaran siswi-siswi SMA BBM. Termasuk seorang gadis terlalu cantik: Amanda (Nikita Willy). Namun, di tengah semua itu, Mas Kulin menemukan Kibo (Calvin Jeremy) dan Rere (Rachel Amanda), yang membuatnya percaya bahwa masih ada orang yang dapat melihat dirinya apa adanya.","Komedi, Drama, Percintaan",Sabrina Rochelle Kalangie,https://image.tmdb.org/t/p/w500/nAervZUh0oosR06cZtNrRWKIGBs.jpg,https://image.tmdb.org/t/p/original/tkrFNe7KPzWQEFDS7jKPZwWXMDj.jpg,106,Released,"Visinema Pictures, Kaskus"
573106,Mata Batin 2,Mata Batin 2,2019-01-11,2019,5.8,44,0.63,"Setelah adiknya meninggal, ALIA memutuskan untuk memulai hidup baru dengan tinggal di sebuah panti asuhan milik Bu LAKSMI dan Pak FADLI sekaligus kerja sosial di sana. Tapi Alia merasa ada yang janggal dengan panti itu. Apalagi NADIA, salah seorang anak panti yang ternyata juga memiliki mata batin terbuka seperti Alia, bisa mendengar suara misterius yang minta tolong dari seluruh dinding rumah. Alia dan Nadia pun membuka sebuah kamar misterius yang terkunci.","Kengerian, Misteri, Cerita Seru",Rocky Soraya,https://image.tmdb.org/t/p/w500/lDhPdH4BPQYmbmOlcBEmFf3NDsh.jpg,https://image.tmdb.org/t/p/original/gX9URsyUrxaFnZhR6DQrc2edvwK.jpg,115,Released,Hitmaker Studios
609844,Bumi Manusia,Bumi Manusia,2019-08-15,2019,7.2,12,0.6,Kedekatan Minke dengan keluarga Nyai tak pernah disetujui oleh bapaknya. Sampai ketika keangkuhan hukum kolonial mencoba merenggut Annelies dari sisi Minke.,"Drama, Sejarah",Hanung Bramantyo,https://image.tmdb.org/t/p/w500/5WrydiMfgcVTCrF0dmhCKRxOjRz.jpg,https://image.tmdb.org/t/p/original/oZx4iH8jlBihRBZRXt9uLHq1P9t.jpg,181,Released,Falcon Pictures
610044,Ikut Aku ke Neraka,Ikut Aku ke Neraka,2019-07-11,2019,6.3,7,0.37,"Kebahagiaan Lita dan suaminya, Rama, tidak berlangsung lama karena Lita kerap diteror oleh makhluk halus berwujud wanita menyeramkan. Rama membawa Pak Adam untuk membersihkan rumah mereka dari gangguan hantu tersebut. Pak Adam menjelaskan teror ini bukan dari rumah, melainkan dari dalam diri Lita sendiri. Pak Adam memberikan petunjuk bahwa jawaban dari teror hantu tersebut ada di masa lalu Lita, dengan meminta penjelasan dari Sari, ibu yang dia tinggalkan. Sari dirawat di rumah sakit jiwa.",Kengerian,Azhar Kinoi Lubis,https://image.tmdb.org/t/p/w500/gsCai4acZuoTXZ4XvIzVj71Dlv5.jpg,https://image.tmdb.org/t/p/original/9QQKcvaf2kuWyLkYgGqiQkDQBqd.jpg,90,Released,Rapi Films
535736,DreadOut,DreadOut,2019-01-03,2019,6.3,34,0.6,"Sekelompok siswa SMA memutuskan untuk membuat siaran langsung aktivitas mereka di dalam gedung apartemen berhantu, tetapi akhirnya mereka malah membuka portal ke neraka.","Kengerian, Cerita Seru",Kimo Stamboel,https://image.tmdb.org/t/p/w500/cakRX3ujz1BchB4PKi1TZGqJh60.jpg,https://image.tmdb.org/t/p/original/1YmHnOsdEiskYgpA6gL5EeBXBQK.jpg,97,Released,"GoodHouse Production (ID), CJ Entertainment, Sky Media, Nimpuna Sinema, Lyto Pictures, MM2 Asia Productions"
611060,Love for Sale 2,Love for Sale 2,2019-10-31,2019,6.3,10,0.27,Sekuel dari film 'Love for Sale' karya Andibachtiar Yusuf yang rilis pada 2018.,"Drama, Keluarga, Percintaan",Andibachtiar Yusuf,https://image.tmdb.org/t/p/w500/2PZ8B4g9YbcHXcLoZbsLBefLvTB.jpg,https://image.tmdb.org/t/p/original/18OyanlEOwyoxiV21o3IuY5Ed6f.jpg,92,Released,"Visinema Pictures, TMF Films"
585026,Dua Garis Biru,Dua Garis Biru,2019-07-11,2019,7.3,22,0.43,Dara dan Bima berusaha menjalani tanggung jawab yang menyulitkan karena telah melanggar batas. Keluguan mereka pun diuji saat keluarga memaksa masuk ke dalam perjalanan hidup mereka.,Drama,Gina S. Noer,https://image.tmdb.org/t/p/w500/mSkrNJ6xjA8rcrR0hGEJzDl8C5V.jpg,https://image.tmdb.org/t/p/original/oPBa5C23Z7EKhf0gSO5ThvX3xmb.jpg,113,Released,"Starvision Plus, Wahana Kreator"
611369,Habibie & Ainun 3,Habibie & Ainun 3,2019-12-19,2019,7.4,9,0.3,"Menceritakan kisah hidup Ainun, istri B.J. Habibie.","Drama, Percintaan, Sejarah",Hanung Bramantyo,https://image.tmdb.org/t/p/w500/zVelCPiSRwEMsU4ZjZNS7Z2I8el.jpg,https://image.tmdb.org/t/p/original/ezdnxigsgFf0GMrFlPBnK3SEY8K.jpg,121,Released,MD Pictures
611370,Uka-Uka The Movie: Nini Tulang,Uka-Uka The Movie: Nini Tulang,2019-07-25,2019,3.0,1,0.22,"Shelly ditemani Rama, Karin, Doni, dan Eja berada di hutan Alas Moyang untuk ikut serta dalam sebuah acara uji keberanian. Begitu acara dimulai, Shelly berteriak menyebut ""tulang"" yang menjadi pantangan di hutan itu. Tak lama, Shelly menghilang, teror dan pencarian pun dimulai.",Kengerian,Ubay Fox,https://image.tmdb.org/t/p/w500/jHX9Y6ggWVuogcxsAe3RENwSHaY.jpg,https://image.tmdb.org/t/p/original/cIbmrEH3uY9dPLkg060SRdCexv.jpg,92,Released,Max Pictures
611740,Danur 3: Sunyaruri,Danur 3: Sunyaruri,2019-09-26,2019,6.6,7,0.37,Berdasarkan novel 'Sunyaruri' karya Risa Saraswati,"Kengerian, Misteri, Cerita Seru",Awi Suryadi,https://image.tmdb.org/t/p/w500/lECusWQxa84IJOeHkfwn1jyvNMw.jpg,https://image.tmdb.org/t/p/original/KskIUwtuENBlyxJXT1tnGnAzyx.jpg,89,Released,"MD Pictures, Pichouse Films"
611080,Lampor: Keranda Terbang,Lampor: Keranda Terbang,2019-10-31,2019,6.4,11,0.32,"Edwin dan Netta bersama kedua anaknya, Adam dan Sekar berangkat ke kampung halaman Netta di Temanggung. Netta diduga sebagai penyebab teror Lampor di kampung halamannya, yaitu setan yang membawa peti mati.","Drama, Kengerian",Guntur Soeharjanto,https://image.tmdb.org/t/p/w500/3v22y85Wv0N84fzFvNZxyBrZKYG.jpg,https://image.tmdb.org/t/p/original/hfUNTtCBPRZ4S52YC4JlwbJ9BXl.jpg,95,Released,Starvision Plus
594223,Bumi Itu Bulat,Bumi Itu Bulat,2019-04-11,2019,0.0,0,0.31,"Kerap berseteru dengan ayahnya yang banser, Rahabi lebih memilih teman-temannya di kampus, Markus, Hitu, Sayid dan Tiara membentuk grup acapella. Produser musik yang menawari rekaman punya syarat menyertakan Aisha, mantan penyanyi cilik yang punya ideologi berbeda.","Drama, Keluarga",Ron Widodo,https://image.tmdb.org/t/p/w500/d3dCCkqblDONevHA9faBX1ezeXw.jpg,,103,Released,"Inspira Pictures, Ideosource Entertainment, GP Ansor, Astro Shaw"
