Total Sutradara: 1385

Nama Sutradara | Jumlah Film
Alif Abimanyu | 6 film
Soni Gaokasak | 6 film
Ardy Octaviand | 6 film
Shalahuddin Siregar | 6 film
Erwin Arnada | 6 film
Eddie Cahyono | 6 film
Rizki Balki | 6 film
Chandra Liow | 6 film
Raymond Handaya | 6 film
Sridhar Jetty | 6 film
Wisnu Surya Pratama | 6 film
Mouly Surya | 6 film
Riar Rizaldi | 6 film
Rudi Aryanto | 6 film
Gugun Arief | 6 film
Wishnu Kuncoro | 6 film
John de Rantau | 6 film
Jason Nathanael Go | 6 film
Bagas  Wiranata | 6 film
Damien Dematra | 6 film
George Hutabarat | 5 film
Adam Martahadi | 5 film
Ariani Darmawan | 5 film
Lakonde | 5 film
Hafiz Rancajale | 5 film
Amrul Ummami | 5 film
Umay Shahab | 5 film
Nanang Istiabudi | 5 film
Yuda Kurniawan | 5 film
Alyandra | 5 film
Aria Kusumadewa | 5 film
Winner Wijaya | 5 film
Loeloe Hendra | 5 film
Deddy Mizwar | 5 film
Andra Fembriarto | 5 film
Eka Katili | 5 film
Girry Pratama | 5 film
Yusron Fuadi | 5 film
Winaldha E. Melalatoa | 5 film
Farishad Latjuba | 5 film
Candra Aditya | 5 film
Salman Aristo | 5 film
Adriyanto Dewo | 5 film
Dinna Jasanti | 5 film
Andry Ganda Wijaya | 5 film
Otty Widasari | 5 film
Richard Oh | 5 film
Yuniar Diansyah Putra | 5 film
Sammaria Simanjuntak | 5 film
Naya Anindita | 5 film
Anggun Priambodo | 5 film
Timoteus Anggawan Kusno | 5 film
Ubay Fox | 5 film
Cuk FK | 5 film
Mimi Jegon | 4 film
Herdanius Larobu | 4 film
Pandji Pragiwaksono | 4 film
Adhe Dharmastriya | 4 film
Jastis Arimba | 4 film
Nan Triveni Achnas | 4 film
Wisnu Adi | 4 film
Andri Cung | 4 film
Angling Sagaran | 4 film
Gunawan Paggaru | 4 film
Kamerad Edmond | 4 film
Pritagita Arianegara | 4 film
Ibnu Agha | 4 film
David Poernomo | 4 film
Agung Sentausa | 4 film
Irwan Siregar | 4 film
Nurman Hakim | 4 film
Boy Rano | 4 film
Ario Rubbik | 4 film
Djenar Maesa Ayu | 4 film
Dheeraj Kalwani | 4 film
Tonny Trimarsanto | 4 film
Jay Sukmo | 4 film
Adink Liwutang | 4 film
Indrayanto Kurniawan | 4 film
Patrick Warmanda | 4 film
Robert Ronny | 4 film
Chairun Nissa | 4 film
Destian Rendra | 4 film
Ichwan Persada | 4 film
Gina S. Noer | 4 film
Dede Ferdinand | 4 film
Amin Ishaq | 4 film
Dedi Setiadi | 4 film
Adis Kayl Yurahmah | 4 film
Monica Vanesa Tedja | 4 film
Sabrina Rochelle Kalangie | 4 film
Ucu Agustin | 4 film
Ihdar Nur | 4 film
Tumpal Tampubolon | 4 film
I Kadek Jaya Wiguna | 4 film
Emil G. Hampp | 4 film
Ainun Ridho | 4 film
Kevin Navarro Cakrawangsa | 4 film
Keanu Acyuta | 4 film
Hedy Suryawan | 4 film
Indra Yudhistira | 4 film
Archie Hekagery | 4 film
Ian Jacobs | 4 film
Bambang Drias | 4 film
Muhadkly Acho | 4 film
Hanny Mustofa | 4 film
Eman Pradipta | 4 film
M. Reza Fahriyansyah | 4 film
Putrama Tuta | 4 film
Senoaji Julius | 3 film
Adrianto Sinaga | 3 film
Deni Pusung | 3 film
Makbul Mubarak | 3 film
Dwi Ilalang | 3 film
Adi Garin | 3 film
Agusti Tanjung | 3 film
Rahung Nasution | 3 film
Andreas Sullivan | 3 film
Asun Mawardi | 3 film
Dirmawan Hatta | 3 film
Mamahit Luigi Donie | 3 film
Sidi Saleh | 3 film
Angkasa Ramadhan | 3 film
Sofyan D. Surza | 3 film
Rusmin Nuryadin | 3 film
Gin Teguh | 3 film
Harris Nizam | 3 film
Ray Nayoan | 3 film
Anggi Frisca | 3 film
Ninndi Raras | 3 film
Chaerul Umam | 3 film
Aditya Ahmad | 3 film
Lee Croudy | 3 film
Agus H Mawardy | 3 film
Cassandra Massardi | 3 film
Watchdoc | 3 film
Bene Dion Rajagukguk | 3 film
Dennis Adishwara | 3 film
Galih Pramudito | 3 film
Leonard Retel Helmrich | 3 film
Sunil Soraya | 3 film
Ravi L. Bharwani | 3 film
Fachri Al Jupri | 3 film
Humar Hadi | 3 film
Muchyar Syamas | 3 film
Ivander Tedjasukmana | 3 film
Herlambang Hashemi | 3 film
Manuel Alberto Maia | 3 film
Eddy Prasetya | 3 film
Alzein Putra Merdeka | 3 film
Tema Patrosza | 3 film
Arief Malinmudo | 3 film
Riza Pahlevi | 3 film
Toto Hoedi | 3 film
Gareth Evans | 3 film
Dzauqy F. Ilham | 3 film
Endri Pelita | 3 film
Praditha Blifa | 3 film
Sinung Winahyoko | 3 film
Wimbadi | 3 film
Aco Tenriyagelli | 3 film
Hilman Mutasi | 3 film
William Chandra | 3 film
Kenny Gulardi | 3 film
Sarah Adilah | 3 film
Adi Victory | 3 film
Sekar Ayu Asmara | 3 film
Vanis | 3 film
Jason Pratama | 3 film
Andrew Kose | 3 film
Yudhistira Bayu | 3 film
Je Yatmoko | 3 film
Dian Sastrowardoyo | 3 film
Sentot Sahid | 3 film
Aka Witharja | 3 film
Ismail Fahmi Lubis | 3 film
Maulana Ghiffari | 3 film
Mauliya Maila | 3 film
Anggita Puri | 3 film
Hielmy Aditya Permana | 3 film
Darwin Mahesa | 3 film
Bram Ferino | 3 film
Wijaya Sanuaji | 3 film
Beny Kristia | 3 film
Andrea Suwito | 3 film
Widya Arafah | 3 film
Ayyub Basya | 3 film
Salman Nur Izzati | 3 film
Ananda Afta Firstiarko | 3 film
Ibnu Tsaqiif | 3 film
Enison Sinaro | 3 film
Alfrits John Robert | 3 film
Mahardhika Yudha | 3 film
Rano Karno | 3 film
Adriano Rudiman | 3 film
Aldo Swastia | 2 film
Andi A. Manoppo | 2 film
Assad M.A. | 2 film
Cathy Sharon | 2 film
Tarmizi Abka | 2 film
Noviandra Santosa | 2 film
Dimas Djayadiningrat | 2 film
Matthew Dunning | 2 film
Arnandha Wyanto | 2 film
Adi Marsono | 2 film
Soleh Solihun | 2 film
Mahatma Putra | 2 film
Lip Sariful Hanan | 2 film
Reza Rahadian | 2 film
Arie Kriting | 2 film
Christ Helweldery | 2 film
Harvan Agustriansyah | 2 film
Adhyatmika | 2 film
Yayan Wiludiharto | 2 film
Ronny Mepet | 2 film
Joel Fadly | 2 film
Athpal Sofie Paturusi | 2 film
Adilla Dimitri | 2 film
Dwi Sujanti Nugraheni | 2 film
Kiki Nuriswan | 2 film
Wahyu Agung Prasetyo | 2 film
Patrick Effendy | 2 film
Wicaksono Wisnu Legowo | 2 film
Allan Lunardi | 2 film
Saptadji | 2 film
M. Haikal | 2 film
Chandra Endroputro | 2 film
Jay Subyakto | 2 film
Rico M. Bradley | 2 film
Bayu Pamungkas | 2 film
Rully Manna | 2 film
Rachmania Arunita | 2 film
Bobby Prabowo | 2 film
Dedy Syahputra | 2 film
Mustafa | 2 film
Taufan Agustyan | 2 film
Achiel Nasrun | 2 film
Eugene Panji | 2 film
Arie Surastio | 2 film
Charles Edward | 2 film
Amelia Hapsari | 2 film
Joshua Oppenheimer | 2 film
Sys NS | 2 film
Akhlis Suryapati | 2 film
Steve Pillar Setiabudi | 2 film
Joko Nugroho | 2 film
Aji Aditya | 2 film
Muhammad Bagas Satrio | 2 film
Andi Burhamzah | 2 film
Prashasti Wilujeng Putri | 2 film
Alexander Sinaga | 2 film
